train_010424	Đặt 3 đôi thì 1 đôi màu đỏ bị phai hết màu đỏ ra chân. Rửa chân mãi mới sạch. Còn 1 đôi thì như bán cho người thương binh. Đặt số 39 mà gửi về 1 chân 38 1 chân 39.	Negative
train_004737	Nội dung sách phần lớn là các ý tưởng vụn vặt và rời rạc! Sách đóng gáy dán keo rất lởm giở tới đâu giấy rơi ra tới đó cực kỳ tệ!	Negative
train_006551	đồng hồ rất đẹp khá là hài lòng đóng gói sp oke	Positive
train_002453	Ok và rẻ	Positive
train_010943	Ban qa nho mơi sư dug ma bi nưt rôi.	Positive
train_000093	Thấy ghi đc tặng kèm tã quần.đến khi nhận hàng thì k thấy.hỏi shop thì nói k có.	Negative
train_003024	"Giống Xiaomi 96,69% Mà cục 10000 mới của Xiaomi ngon hơn, giá rẻ hơn nữa"	Negative
train_011342	chất liệu tạm mà lỗi vô cùng @@ Đóng gói sản phẩm rất kém Shop phục vụ rất kém Đóng gói sản phẩm rất kém	Negative
train_012915	Sáng xem giá 70k chiều giá 77k :sad:sao giờ k có cái chọn free ship giống hồi trước nhỉ	Negative
train_001897	Đóng gói cẩn thận nhưng son bị khô và vón cục đã liên hệ shop nhưng ko thấy trả lời gì hết. Vẫn thường mua của shop này thấy an toàn mà giờ lại bị cây son như vậy.	Negative
train_014682	Chất lượng sản phẩm tuyệt vời. Hũ đây đó thèm nên em ăn hết nữa r	Positive
train_004756	Chất lượng sản phẩm tuyệt vời Giày đẹp giao hàng hơi chậm	Positive
train_014699	Shop bán hàng dễ thương. Giao hàng nhanh. Sản phẩm ok lắm. Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn	Positive
train_005192	Giao hàng nhanh. Sản phẩm chất lượng. Sản phẩm đẹp	Positive
train_013847	Áo chuẩn hình đẹp. Thích luôn giá lại bèo	Positive
train_000081	Giày Ok lắm shop ship hàng nhanh nữa ❤️	Positive
train_000240	Trà thơm uống ngon nhưng tiếc là loại hoa dâm bụt chỉ có 20gói/hộp	Positive
train_007880	Rất đẹp Thời gian giao hàng rất nhanh Rất đáng tiền	Positive
train_006787	Dễ xước Vl để trong cặp toàn vở nứt mẹ ra cảm vl	Negative
train_006851	"Nhất định phải mua 1 em này mới đc quá tuyệt"	Positive
train_015923	Chất lượng sản phẩm kém Đóng gói sản phẩm kém Shop phục vụ kém Không đáng tiền Rất không đáng tiền Thời gian giao hàng rất chậm	Negative
train_007162	Áo xl mà nhỏ xíu. Thun k mát vs co dãn yếu	Negative
train_010421	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vờ	Positive
train_012028	hàng kém chất lượng khách hỏi 2 lớp trả lời 2 lớp lúc nhận thì chỉ có 1 lớp. ko thấm	Negative
train_003095	Đẹp tiện	Positive
train_000201	Hàng rất tốt ,giao hàng rất nhanh ,và gói hàng rất cẩn thận Cảm ơn shop vì cái giắc DC	Positive
train_013607	C chủ tv nhiệt tình chiều khách tuy hàng có hơi lỗi 1 tí nhưng k đáng kể hangf giao nguyên hộp nilong đầy đủ tks shop!	Positive
train_001587	Chất kém	Negative
train_009180	Mua về sử dụng có một lần là hết pin. Ko có sdt để ll cửa hàng. Quá tệ	Negative
train_006699	Giao hàng chậm hoen so với các shop khác. Mứt chuối chát vì chuối chưa chín hẳn	Positive
train_002682	Giày mền đẹp ạ Chất lượng sản phẩm tuyệt vời	Positive
train_003562	Đã xài thử miniband dùng rất thích. Giao hàng siêu nhanh mình mới đặt hàng hôm qua mà nay đã có hàng dù shop ở HN còn mình ở HCM. Chất lượng sản phẩm tuyệt vời. Shop phục vụ rất tốt. Rất đáng tiền	Positive
train_000722	Chất lượng sp dược . Đóng gói tốt	Positive
train_012871	cho hỏi shop hàng mình nhận được roi . nhưng mjh ko lấy được ngày mjh muốn đổi có đc ko. Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém	Negative
train_005972	Đèn k sáng	Negative
train_004095	Chat lượng sp dc. Nhung giao thiếu 1 đôi dép. Đã phản hồi lại shop nhưng ko thấy trả lời.	Negative
train_014827	Gối ôm này rất kém chất lượng gối thì đắt mà mềm ko tưởng tượng được ôm ko được gì hết mỗi lần giặt xong bao lại cũng khổ vì ruột ít quá ko thẳng để bao được. Nói chung quá tồi.	Negative
train_005444	Giày đẹp. Se ủng hộ shop	Positive
train_002572	Hạnh nhân ăn rất giòn vỏ mỏng hơi mặn( lần trước ít mặn hơn) chủ shop nhiệt tình sẽ tiếp tục ủng hộ.	Positive
train_001354	Shop giao thiếu hàng nhưng hỏi k thấy trả lời lại. Shop phục vụ rất kém Shop phục vụ rất kém Shop phục vụ rất kém	Negative
train_005340	Mua size 4 ma giao size3	Negative
train_008074	Thật sự là rất bức xúc về shop này 1☆ là vẫn còn nhẹ. Ngĩ s mà dép bị lỗi quoai dài quá k mang đc mk đã yc đổi hàng nt qua shoppee rồi tin nhắn đt r cả gọi đt 2-3 lần mà shop cứ hứa r k lm bức xúc quá nên mk ms pải hủy trả hoàn tiền lại để vô đánh giá shop giờ đôi dép cũng k pk pải lm s lun haizz	Negative
train_008593	Máy mới mua về mấy ngày sạc kg vào pin tiki có hổ trợ đổi sp mới hay bảo hành ở hãng vậy	Negative
train_006833	Nhjn dep lam	Positive
train_014523	SP theo hình thì thấy lạ đẹp không ngờ khi nhận hàng mới thấy quá tệ 1 là kĩ thuật may không ráp lại không đều đặn ráp méo mó tùm lum.2 là nam châm to nhưng độ hít rất yếu ớt lắm nếu chạy nhanh hoăc sốc mạnh sẽ bị rơi xuống đường ngay nếu không cột phụ vào ghi đông xe. so với số tiền shop bán rất đắt không hợp lý. đề nghi khắc phục và cải tiến lại.	Negative
train_000579	Đóng gói sản phẩm rất đẹp và chắc chắn Có điều bị cắt tem KMãi	Positive
train_004868	Giao thiếu shop da hoàn tiền .	Positive
train_002524	Đi rất vừa chân đóng gói rất cẩn thận cho shop 5 sao luôn	Positive
train_010327	Mắt síp cao quá	Positive
train_012748	đặtt 2 combo là 6 cái mà shop ko giao nhiều mẫu.chỉ giao 3 mẫu cho 6 cái.trong khi phân loại hàng là 3/4/5 là có 9mẫu. néu v đừng để chung 3/4/5 như vậy.	Negative
train_014336	Shop phục vụ rất tốt Rất đáng tiền Sp tốt lắm	Positive
train_000946	Hàng của shop giao ko hề có banner của Twice	Negative
train_005261	Mùi k giống lắm	Negative
train_013958	(đặt mũ nhưng k giao mũ	Negative
train_015382	Chất lượng sản phẩm rất kém mới dùng một lần đã hư	Negative
train_007387	Hàng rất là đẹp mềm không khác gì hình ảnh. Chất lượng sản phẩm tuyệt vời	Positive
train_003358	Rao kính cận nhận được miếng mica lắp vào mắt đeo nhưng không đeo. Lần sau đề nghị shop có sao nói vậy. Thanks.	Negative
train_015743	Dây sạc lên pin cực kì chậm. Không phải do cốc sạc. Vì cắm vào sạc dự phòng cũng vẫn rất chậm. Nhưng dây khác thì không bị	Negative
train_007321	túi rất nhưng phải chi nó to hơn xíu thì tuyệt. hơi nhỏ. Đóng gói sản phẩm rất đẹp và chắc chắn	Positive
train_001002	Son chuẩn nhưng mình check code hết hạn rồi	Negative
train_003201	rất hài lòng về sản phẩm .máy xay tốt. chuyển hàng nhanh .	Positive
train_010819	Khách hàng không đồng ý với cách xử lý của Shop đã đem hàng về nhưng không đổi cho khách thà là nói không đổi được chứ tới lấy hàng về rồi tưởng đổi lại tã quần ai ngờ mở ra lại là tã dán thật thất vọng ...	Negative
train_015618	Hàng đẹp giá phải chăng shop nhiệt tình giao hàng nhanh. Hết lại ủng hộ.	Positive
train_003485	Hàng đẹp lắm ạ. Giống ảnh khoảng 90% thôi. Nhưng giá vậy là ok rồi. Chúc shop buôn may bán đắt ạ	Positive
train_005834	Dặn soạn hàng 1 đàng giao hàng một nẻo. Mọi người mua hàng chú ý nhé!	Negative
train_010953	Mua carbon gửi vân da	Negative
train_006368	Mùi son hôi quá!	Negative
train_010851	San phẩm xâu chất lượng không như mong muôn	Negative
train_004725	Đặt ip7+ 6 mà gửi có Đặt ip7+ 6 mà gửi có ip7	Negative
train_010049	Chất lượng sản phẩm tuyệt vời.Giày rất đẹp và đường may cũng rất khéochị bán hàng vô cùng thân thiện và dễ mếnthái độ tận tình làm tôi không thể chê vào chô nào được.Cảm ơn shop ạ :) Rất đáng tiền	Positive
train_005669	Shop phục vụ rất tốt thời gian giao hàng hơi nâu.	Positive
train_000074	Chất lượng sản phẩm tốt Đóng gói sản phẩm rất cẩn thận và chắc chắn Thời gian giao hàng rất nhanh	Positive
train_013626	đế giày bị bẩn như dùng r :( chán	Negative
train_003439	Đẹp bé mặc rất đáng yêu	Positive
train_002229	Vải rất oki nhé 😍	Positive
train_015143	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn. Shop rất có tâm và nhiệt tình. Sẽ ủng hộ dàu dài 💓💓💓💓💓💓	Positive
train_012896	T chưa dùng thửnhưng giao màu nhầm rồi b	Positive
train_007346	Đúng với cái tên đây là máy chỉ hút được bụi li ti thôi không hút được các loại khác chỗ chứa bụi quá bé phải đổ bụi liên tục.Chỉ có tác dụng với nhà đã được dọn sạch, cần hút những hạt bụi mà mắt không nhìn thấy được. So sánh với giá tiền thì quá lãng phí	Negative
train_012354	Giày đẹp lắm shop ah	Positive
train_009808	tốt.giá rẻ âm thanh hay	Positive
train_011005	Shop phục vụ tốt.Chưa test xong mới đc 1 sản phẩm nhưng thấy ổn!!!!	Positive
train_003258	Giao hang nham cho minh roi mình chọn b04 và b11 là màu sao shop gui cho mình B03b08 màu xanh và màu tím	Positive
train_000005	Chất lượng sản phẩm tuyệt vời có điều không cứng cáp với không cố định dáng nói chung đẹp hợp túi tiền	Positive
train_001775	E note la lay ga truyen thong vs ga toi. Ma giao e 2bich kho ga la chanh luon... mui la chanh e k an dc	Positive
train_015785	Gói hàng cẩn thận. Bước đầu kiểm tra thấy là hàng auth.	Positive
train_014679	Chất lượng sản phẩm rất kém Mới mua về thì thấy đẹp. Mà mang mới 4 bữa thì đế sau bị bung ra như vậy!!!	Negative
train_008175	Mình đặt 1 bộ nhưng cuối cùng tiki chỉ giao 1 cuốn tập 2 trong khi đó cuốn tập 1 lại không có. Mình đã gửi mail để tiki hỗ trợ về vấn đề này nhưng không có hồi đáp? Mong ti ki xem xét lại. Đơn hàng 839377271	Negative
train_013536	Mùi hắc qúa...nghe hơi bị nhức đầu	Positive
train_009515	Thời gian giao hàng rất nhanh. Chất lượng sản phẩm tuyệt vời. Gõ cực sướng!!!!	Positive
train_003363	Quần nhỏ quá 15 kg mặc chật nức vậy mà bảo đảm	Negative
train_000294	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền.moi ng ung ho shop nha	Positive
train_012898	"Tại vì nó bền. Phải nói là nó bền nên ít người mua mới lắm."	Positive
train_011016	Nội dung lôi cuốn nhưng sách in trùng trang và bị mất 1 đoạn.	Negative
train_015598	Sau thời gian dùng tuy mình không dùng bàn chải chà cũng không cọ sát mạnh nhưng chữ và hình chuột mickey trên hình bị lem màu sơn trên ngôi sao bị tróc. Hơi thất vọng 1 tí	Positive
train_012624	tieng nge nho xiu ko tot	Positive
train_004551	giao k cho xem hàng đặt hỏi size k trả lời .kết quả giầy chật đi rất đau chân .lần duy nhất thôi nhé shop !giầy mũi ôm và gót to không ôm chân	Negative
train_012385	hàng quá tệ. 28000 mà ko sạc đầy máy 2300	Negative
train_001046	Quạt sạc mà k có sạc thì cũng như nhau	Negative
train_000707	Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. Cảm ơn và chúc shop buôn may bán đắt nhé❤️	Positive
train_004414	Dùng ok nhưng làm da mình hơi khô 1 chút sau khi rửa	Positive
train_010294	"Có ai dùng 6s lên 9.2.1 lại nhanh hết pin như tôi không. Nhanh hết pin quá"	Negative
